Title;Tipo paper;DOI
Complexities and difficulties behind the implementation of reconstruction plans after the Great East Japan Earthquake and Tsunami of March 2011;journalArticle;
Place satisfaction and perceived recovery after Hurricane Sandy on Staten Island’s East Shore;bookSection;10.1080/17477891.2017.1340869
Assessing research priorities and practices following the 2016 Kaikoura earthquake;journalArticle;
Scalability and sustainability in uncertain environments: Transition to recovery from the 2015 Gorkha, Nepal, Earthquakes;conferencePaper;10.1193/113016EQS217M
Aftershock: Reflections on the politics of reconstruction in northern Gorkha;journalArticle;
You plan, you test and then it happens: Lessons learned from the Schneider warehouse tornado recovery;conferencePaper;
Long-term visions and ordinary management: Post-earthquake reconstruction in the Italian region of Emilia;journalArticle;
Knowledge transfer to builders in post-disaster housing reconstruction in West-Sumatra of Indonesia;journalArticle;10.1063/1.5011630
Creating Katrina, Rebuilding Resilience: Lessons from New Orleans on Vulnerability and Resiliency;journalArticle;
'Interrupted' landscapes: Post-earthquake reconstruction in between urban renewal and social identity of local communities;journalArticle;10.3390/su9112015
An organizational capability framework for earthquake recovery;journalArticle;10.1193/092515EQS142M
Building back better along the Sanriku coast of Tohoku, Japan: Five years after the '3/11' disaster;bookSection;10.3828/tpr.2017.38
Communicating knowledge in post-disaster Reconstruction projects in Indonesia;journalArticle;
Situating local stakeholders within national disaster governance structures: rebuilding urban neighbourhoods following the 2015 Nepal earthquake;book;10.1177/0956247817721403
Speed or deliberation: a comparison of post-disaster recovery in Japan, Turkey, and Chile;journalArticle;10.1111/disa.12219
Inter-organizational resource coordination in post-disaster infrastructure recovery;journalArticle;10.1080/01446193.2016.1247973
Social inequality and marginalization in post-disaster recovery: Challenging the consensus?;journalArticle;10.1016/j.ijdrr.2017.06.019
Gendered approach towards disaster recovery: Experiences from 2011 floods in Pathumthani province, Thailand;book;10.1016/j.ijdrr.2017.06.007
Perception of recovery of households affected by 2008 Wenchuan earthquake: A structural equation model;journalArticle;10.1371/journal.pone.0183631
Disaster resilience as a complex problem: Why linearity is not applicable for long-term recovery;conferencePaper;10.1016/j.techfore.2016.09.018
Attempts at Neoliberal Urban Planning in Postearthquake Chile: Master Plans for Reconstruction;journalArticle;10.1177/0094582X16658265
Managing legitimacy: The Christchurch post-disaster reconstruction;bookSection;10.1016/j.ijproman.2016.07.007
Ethnic groups differences in domestic recovery after the catastrophe: A case study of the 2008 magnitude 7.9 earthquake in China;journalArticle;10.3390/ijerph14060590
Household-Level Recovery after Floods in a Tribal and Conflict-Ridden Society;conferencePaper;10.1016/j.worlddev.2016.12.039
Resilient Housing Reconstruction in the Developing World;journalArticle;
Finance, Insurance, and Facilitation of Recovery: Should the Role and Responsibility Assigned to Government Be to Assert Control Over Long-Term Planning?. Should the Role and Responsibility Assigned to Government Be to Assert Control Over Long-Term Planning?;journalArticle;
Initial findings on delay factors in the post-disaster housing reconstruction: Local authorities and NGOs perspectives;journalArticle;
Japan after march 11th 2011: Between swift reconstruction and sustainable restructuring;journalArticle;
Assessment of post-tsunami disaster recovery of Banda Aceh city of Indonesia as window of opportunities for sustainable development;journalArticle;10.1088/1755-1315/56/1/012019
Using land readjustment in rebuilding the earthquake-damaged City of Bhuj, India;journalArticle;10.1061/(ASCE)UP.1943-5444.0000354
Role of social transformation in community recovery from Cyclone Nargis: Case of Kun Thee Chaung Village, Myanmar;journalArticle;
Understanding recovery process of small- and medium-scale enterprises after 2015 Nepal earthquake and impact on resilience building;journalArticle;
Sustainable post-disaster recovery plan for flood victims in Gua Musang and Kuala Krai, Kelantan;journalArticle;
The role of community engagement in post-disaster reconstruction: The cases of L’Aquila and Emilia Romagna, Italy;journalArticle;
Participation for disaster resilience: A life cycle approach to reconstruction projects in India;journalArticle;
Community engagement in postdisaster recovery;journalArticle;
Brave new sanriku: Recovering from 3.11;journalArticle;
Reconstruction of marginality: The Tokyo bay area in the great East Japan earthquake;journalArticle;
Lessons from post-disaster home reconstruction: Dujiangyan city, China;journalArticle;
The role of north-south interpersonal solidarity networks in the post-disaster reconstruction process: The case of the 2015 earthquake in Nepal;journalArticle;10.3917/med.180.0105
Development, disaster and reconstruction: The case of sÃo luiz do Paraitinga/Sp, Brasil;journalArticle;
Social capital and changes in post-disaster recovery process: Observations from China after the 2008 Wenchuan earthquake;bookSection;
Citizen participation in the disaster reconstruction process: Lessons from the great East Japan Earthquake;journalArticle;
The 2015 Nepal Earthquake: From rescue to reconstruction;journalArticle;
International humanitarian assistance and disaster recovery in Asia;journalArticle;
Interorganizational Resilience: Networked Collaborations in Communities After Superstorm Sandy;conferencePaper;
Interorganizational Network Dynamics in the Wenchuan Earthquake Recovery;conferencePaper;
Legislation for building back better of horizontal infrastructure;journalArticle;10.1108/DPM-03-2016-0054
What constitutes successful participatory disaster risk management? Insights from post-earthquake reconstruction work in rural Gujarat, India;journalArticle;10.1007/s11069-016-2564-x
Households’ experience of local government during recovery from cyclones in coastal Bangladesh: resilience, equity, and corruption;journalArticle;10.1007/s11069-016-2568-6
Appropriateness of industrialized technologies for post-disaster housing reconstruction: Hurricane Sandy, Santiago de Cuba;journalArticle;
Flooding in Bangladesh: An in-depth analysis of community disaster resilience applying the production model;journalArticle;10.18848/2329-1621/CGP/v11i04/59-74
Recovery from catastrophe and building back better;journalArticle;10.20965/jdr.2016.p1190
Communicating with communities (CwC) during post-disaster reconstruction: an initial analysis;journalArticle;10.1007/s11069-016-2550-3
The importance of place in early disaster recovery: a case study of the 2013 Colorado floods;journalArticle;10.1080/09640568.2015.1116981
Post-disaster recovery: The challenge of anticipation;journalArticle;10.1051/e3sconf/20160717003
Selecting an institutional mechanism for Building Back Better: Lessons from Victorian bushfires recovery;journalArticle;10.1016/j.ijdrr.2016.08.025
How will we manage recovery from a catastrophic disaster? Organization structure for recovery management in the world;journalArticle;10.20965/jdr.2016.p0889
The dynamic process of social capital during recovery from Tropical Storm Irene in Vermont;bookSection;10.1007/s11069-016-2412-z
Fuzzy Boundaries Between Post-Disaster Phases: The Case of L’Aquila, Italy;journalArticle;10.1007/s13753-016-0095-4
Flood recovery capacities of the manufacturing SMEs from floods: A case study in Pathumthani province, Thailand;journalArticle;10.1016/j.ijdrr.2016.07.001
“To silence the deafening silence”: Survivor's needs and experiences of the impact of disaster radio for their recovery after a natural disaster;journalArticle;10.1016/j.ienj.2015.11.009
Urban spatial structuring following disasters: empirical findings from location choices of businesses in Adapazari, Turkey;journalArticle;10.1080/13669877.2016.1143864
Qualitative Assessment of a Novel Efficacy-Focused Training Intervention for Public Health Workers in Disaster Recovery;journalArticle;10.1017/dmp.2016.11
Museums as hubs for disaster recovery and rebuilding communities;journalArticle;
Long-term socio-spatial transformation of earthquake-affected neighbourhoods in Bhuj: Who stayed, who left and who moved in?;journalArticle;10.1108/IJDRBE-07-2014-0049
Recovery from natural disaster: A numerical investigation based on the convergence approach;journalArticle;10.1016/j.econmod.2016.02.029
Promptness and sustainability in town reconstruction following the 2011 great east Japan earthquake;journalArticle;
Unequal recovery? Federal resource distribution after a Midwest flood disaster;journalArticle;10.3390/ijerph13050507
School disaster resilience assessment in the affected areas of 2011 East Japan earthquake and tsunami;journalArticle;10.1007/s11069-016-2204-5
Fables from the reconstruction: Lessons from Chile's recovery after the 2010 earthquake and tsunami;book;
Post-Disaster housing reconstruction lessons from the 1999 Marmara earthquake, Turkey;journalArticle;
The Insurance Industry and Integrated Project Management Frameworks in Post-Disaster Reconstruction: Recovery after the 2010 and 2011 christchurch earthquakes;conferencePaper;
Positioning stakeholders within Owner-driven post-disaster reconstruction approaches: Gujarat, India following the 2001 earthquake;conferencePaper;
"Decentralizing a ""top-down"" post-disaster reconstruction: China's response to the 2008 wenchuan earthquake";journalArticle;
"Measuring Damage and Recovery Status of Residents in Terms of ""Quality of Life""";journalArticle;
“We Were All in the Same Boat”: An Exploratory Study of Communal Coping in Disaster Recovery;journalArticle;10.1080/1041794X.2015.1111407
Lessons Learned from Businesses to Ensure Community Level Recovery in a Postdisaster Period: Case from Adapazari, Turkey;journalArticle;10.1061/(ASCE)NH.1527-6996.0000191
Postdisaster Urban Recovery: 20 Years of Recovery of Kobe;journalArticle;
Rebuilding with a heart: architecture roles in post-disaster psychosocial interventions;journalArticle;10.3846/20297955.2016.1159533
Knowledge management and tourism recovery (de)marketing: the Christchurch earthquakes 2010–2011;journalArticle;10.1080/13683500.2014.990424
Imagining culture: The politics of culturally sensitive reconstruction and resilience building in Post-Wenchuan Earthquake China;journalArticle;
Disaster relief and reconstruction in Taiwan: Policy and issues;journalArticle;
Integrating recovery within a resilience framework: Empirical insights and policy implications from regional Australia;journalArticle;10.17645/pag.v4i4.741
Disaster resilience after hurricane sandy: Enhancement efforts, use of funds, and national mitigation framework;journalArticle;
Building resilience through post-disaster community projects: Responses to the 2010 and 2011 Christchurch earthquakes and 2011 T?hoku Tsunami;journalArticle;
The hazards of reconstruction: Anthropology of dwelling and social health risk in the L'Aquila (Central Italy) post-earthquake;journalArticle;10.19191/EP16.2S1.P093.055
Convenience rating of post-disaster recovery housing complexes constructed in Iwate prefecture following the 2011 Tohoku Earthquake;journalArticle;
Key Lessons and Guidelines for Post-Disaster Permanent Housing Provision in Kelantan, Malaysia;journalArticle;10.1016/j.proeng.2016.04.156
Multi-stakeholder participation in disaster recovery: A case study;journalArticle;10.1016/j.proeng.2016.08.153
Reframing “building back better” for post-disaster housing design: a community perspective;journalArticle;10.1108/IJDRBE-05-2015-0029
Advantages and limitations of community-based post-disaster housing reconstruction projects;journalArticle;10.1108/IJDRBE-08-2014-0066
Resident perception of disaster recovery planning priorities;journalArticle;10.1108/IJDRBE-09-2014-0068
Critical success factors for post-disaster infrastructure recovery: Learning from the Canterbury (NZ) earthquake recovery;journalArticle;10.1108/DPM-01-2016-0006
An integrated social response to disasters: the case of the Indian Ocean tsunami in Sri Lanka;journalArticle;10.1108/DPM-11-2015-0263
Religion and reconstruction in the wake of disaster;journalArticle;10.18874/ae.75.1.08
Planning processes for reconstruction with citizen participation after large-scale disasters: A case study of reconstruction study meetings in Miyako City after the Great East Japan Earthquake;book;10.20965/jdr.2016.p0486
Practical efforts for post-disaster reconstruction in the City of Ishinomaki, Miyagi;journalArticle;10.20965/jdr.2016.p0476
Victims of post-earthquake reconstruction. Consequences on the rural habitat of Maule;journalArticle;10.4067/invi.v0i0.976
Low-carbon Reconstruction: A Meta-Synthesis Approach for the Sustainable Development of a Post-Disaster Community;journalArticle;10.1002/sres.2302
Disaster Recovery in Black and White: A Comparison of New Orleans and Gulfport;journalArticle;10.1177/0275074014532708
Influencing factors of households disadvantaged in post-earthquake life recovery: a case study of the Wenchuan earthquake in China;journalArticle;10.1007/s11069-014-1400-4
Procedural vulnerability and institutional capacity deficits in post-disaster recovery and reconstruction: Insights from Wutai Rukai experiences of Typhoon Morakot;bookSection;10.17730/0018-7259-74.4.308
The flood recovery gap: A real-time study of local recovery following the floods of June 2007 in Hull, North East England;journalArticle;10.1111/jfr3.12098
Social repair and structural inequity: implications for disaster recovery practice;book;10.1108/IJDRBE-08-2013-0033
Examining the role of craft in post-earthquake recovery: Implications for social work practice;book;10.1093/bjsw/bcv126
Belonging and disaster recovery: Refugee-background communities and the canterbury earthquakes;conferencePaper;10.1093/bjsw/bcv090
Post-disaster housing reconstruction as a significant opportunity to building disaster resilience: a case in Vietnam;journalArticle;10.1007/s11069-015-1826-3
An Evaluation of the Waimakariri District Council's Integrated and Community-Based Recovery Framework Following the Canterbury Earthquakes: Implications for Urban Resilience;bookSection;10.1080/08111146.2014.980401
Optimal life recovery assistance for those who are residing in designated temporary housing in widely dispersed locations: Interim findings on different household groups and on life recovery promotion parameters;journalArticle;10.20965/jdr.2015.p0939
A study on community-based reconstruction from great East Japan Earthquake disaster – A case study of Iwanuma city in Miyagi-Pref;journalArticle;10.20965/jdr.2015.p0807
Post-disaster reconstruction-what does it mean to rebuild with resilience?;journalArticle;
Limitations, Legacies, and Lessons: Post-Katrina Rebuilding in Retrospect and Prospect;journalArticle;10.1177/0002764215591186
Disaster Recovery and Reconstruction Following the 2011 Great East Japan Earthquake and Tsunami: A Business Process Management Perspective;journalArticle;10.1007/s13753-015-0066-1
Catastrophic disasters as opportunities for sustainable reconstruction: The case of typhoon yolanda;journalArticle;
Temporary Sheltering, Psychological Stress Symptoms, and Perceptions of Recovery;journalArticle;10.1061/(ASCE)NH.1527-6996.0000166
Comparative Study on the Key Issues of Postearthquake Recovery and Reconstruction Planning: Lessons from the United States, Japan, Iran, and China;book;10.1061/(ASCE)NH.1527-6996.0000172
"Reconstruction from the Indian ocean tsunami disaster: Case study of Indonesia and Sri Lanka and the philosophy of ""Build back better""";journalArticle;
Reconstruction following the 2011 Tohoku earthquake tsunami: Case study of Otsuchi Town in Iwate prefecture, Japan;conferencePaper;
“You Always Have to Struggle, So You Don’t Have to Struggle”: Community Trauma Recovery After a Landslide;journalArticle;10.1080/15325024.2013.877771
Hurricane Sandy, disaster preparedness, and the recovery model;conferencePaper;10.5014/ajot.2015.015990
Continuity and change in housing and settlement patterns in post-earthquake Gujarat, India;conferencePaper;10.1108/IJDRBE-01-2014-0009
Architects and rural post-disaster housing: Lessons from south india;journalArticle;10.1108/IJDRBE-07-2013-0025
Supporting post-disaster social recovery to build back better;conferencePaper;10.1108/IJDRBE-06-2013-0019
Sustainable housing reconstruction: Designing resilient housing after natural disasters;journalArticle;
Building Back: Stratified Recovery After an EF-4 Tornado in Tuscaloosa, Alabama;journalArticle;10.1111/cico.12105
"""Now we understand what community really means"": Reconceptualizing the role of sense of place in the disaster recovery process";journalArticle;10.1016/j.jenvp.2015.01.004
Post-disaster reconstruction: lessons from Nagapattinam district, India;bookSection;10.1080/09614524.2015.1028334
Recovery of the supply chain after the 2011 mega-quake in Japan;journalArticle;10.1177/0976399614563221
NGO collaboration in community post-disaster reconstruction: Field research following the 2008 Wenchuan earthquake in China;journalArticle;10.1111/disa.12098
How do supply chain networks affect the resilience of firms to natural disasters? Evidence from the great east Japan Earthquake;journalArticle;10.1111/jors.12119
Postdisaster interdependent built environment recovery efforts and the effects of governmental plans: Case analysis using system dynamics;journalArticle;10.1061/(ASCE)CO.1943-7862.0000939
Disaster recovery: narrating the resilience process in the reconstruction of L’Aquila (Italy);journalArticle;10.1080/00167223.2014.973056
Post-disaster reconstruction models: The governance of urban disasters in China, Iran and Myanmar;journalArticle;
The tsunami warning system in Thailand: A part of the reconstruction process after the 2004 Indian Ocean tsunami;journalArticle;
Reconstruction plans and planning process after the Great East Japan Earthquake and Tsunami;journalArticle;
"Lessons learned from two villages in the tsunami most affected area of Banda Aceh city; A review of the housing reconstruction and the current state of village development";journalArticle;
Local building cultures valued to better contribute to housing reconstruction programs;journalArticle;
Disaster waste recovery and utilization in developing countries-Learning from earthquakes in Nepal;journalArticle;10.3208/jgssp.ESD-KL-7
Post-disaster economic recovery in Yogyakarta, Indonesia;journalArticle;10.1201/b18146-62
The role of NGOs in natural disaster governance: A case study on the One foundation in Ya’an earthquake;journalArticle;
An empirical study on stakeholder management of post-disaster reconstruction based on interpretation system;journalArticle;10.3926/jiem.1468
Research on Problems and Countermeasures of Post-Disaster Reconstruction in China;journalArticle;10.1061/9780784479377.056
27-f earthquake and tsunami reconstruction process in Chile: An approach to urban vulnerability in the reconstruction master plan of Duao, Iloca and la Pesca;journalArticle;
‘The confidence to know I can survive’: resilience and recovery in post-quake Christchurch;journalArticle;10.1080/1177083X.2015.1071712
Rolling with the shakes: an insight into teenagers’ perceptions of recovery after the Canterbury earthquakes;journalArticle;10.1080/1177083X.2015.1068183
Missing link between state and community: Post-Tsunami reconstruction and rehabilitation of Alappad Panchayat, Kerala, India;journalArticle;
Administrative planning and political response to a post-disaster reconstruction: A study of Aila (cyclone)-devastated Gosaba block in West Bengal (India);bookSection;
‘Rural–Urban Alliance’ as a new model for post-disaster social work intervention in community reconstruction: The case in Sichuan, China;journalArticle;10.1177/0020872815583073
The role of self-help groups in post-tsunami rehabilitation;journalArticle;10.1177/0020872813477880
Research on the intrinsic mechanism of major disaster and Crisis management from the perspective of social governance—based on the practice of 4.20 Lushan earthquake post-disaster reconstruction;journalArticle;
Trees and forests contribute to recovery from the world's most powerful typhoon in the Philippines;journalArticle;
Exploring the possibilities of school-based recovery and community building in Toni District, Kamaishi;journalArticle;10.1007/s11069-014-1344-8
Disaster governance and community resilience: reflections on Typhoon Morakot in Taiwan;bookSection;10.1080/09640568.2013.839444
Post-disaster urban recovery monitoring in pisco after the 2007 peru earthquake using satellite image;conferencePaper;10.20965/jdr.2014.p1059
How bonding and bridging networks contribute to disaster resilience and recovery on the Bangladeshi coast;journalArticle;10.1016/j.ijdrr.2014.09.016
A qualitative comparative analysis of neighborhood recovery following Hurricane Katrina;journalArticle;10.1108/IJDRBE-03-2013-0006
Post disaster recovery and economic impact of catastrophes in China;journalArticle;10.1193/090511EQS221M
Family Functioning Following Wildfires: Recovering from the 2011 Slave Lake Fires;journalArticle;10.1007/s10826-013-9802-6
Nontraditional participation in disaster recovery planning: Cases from China, India, and the United States;journalArticle;10.1080/01944363.2014.989399
Post-tsunami recovery in Thailand: Socio-cultural responses;journalArticle;
Comparative study of the post-tsunami recovery plans after the 2011 Great East Japan earthquake;journalArticle;10.20965/jdr.2014.p0743
Current status and issues of life recovery process three years after the great east Japan earthquake questionnaire based on subjective estimate of victims using life recovery calendar method;journalArticle;10.20965/jdr.2014.p0673
Comparative study of earthquake recovery and reconstruction between China and Japan;journalArticle;10.13577/j.jnd.2014.0401
Morakot post-disaster reconstruction management using public and private resources for disaster prevention and relief efforts;journalArticle;10.1080/02533839.2013.815419
An investigation of patterns of response and recovery among flood-affected businesses in the UK: A case study in Sheffield and Wakefield;journalArticle;10.2495/FRIAR140141
The role of social capital and public policy in disaster recovery: A case study of Tamil Nadu State, India;journalArticle;10.1016/j.ijdrr.2013.09.004
Is the health status of female victims poorer than males in the post-disaster reconstruction in China: A comparative study of data on male victims in the first survey and double tracking survey data;journalArticle;10.1186/1472-6874-14-18
Disaster recovery in coastal Mississippi, USA: Lesson drawing from Hurricanes Camille and Katrina;journalArticle;
Damage and reconstruction after the 2004 Indian Ocean tsunami and the 2011 tohoku tsunami;journalArticle;
Sink or swim: Alternative approaches to flood disaster reconstruction and mitigation;journalArticle;
BRR Aceh–Nias: Post-disaster reconstruction governance;journalArticle;
Linking organisational competency to project success in post-disaster reconstruction;journalArticle;
Global and regional paradigms of reconstruction housing in Banda aceh;journalArticle;
From new town to new home: Memory-oriented post-disaster rural reconstruction in Sichuan, China;journalArticle;
Application of sustainability principles in post-disaster reconstruction;journalArticle;
Housing renovation after the 2011 Thailand flood in Ayutthaya;book;10.20965/jdr.2014.p0563
Empirical study of post-earthquake reconstruction evaluation frame-the case of Lushan county;journalArticle;
Successes and failures of the post-tsunami housing reconstruction program in Tamil Nadu, India;bookSection;10.1061/9780784413517.0123
Organizational networks and recovery following the Canterbury earthquakes;journalArticle;10.1193/022013EQS041MR
Measuring the degree of rural victims' satisfaction with concentrated rural settlement in post-disaster reconstruction in china: A conceptual model;journalArticle;10.1007/978-3-642-44916-1_6
Experience of the post-disaster housing rehabilitation and reconstruction in Wudu District, Longnan City;bookSection;10.1007/978-3-642-35548-6_73
Post-Disaster Housing Recovery: The Promise and Peril of Social Capital;journalArticle;10.1080/17448689.2014.885787
Post-tsunami recovery and reconstruction: Governance issues and implications of the Great East Japan Earthquake;journalArticle;10.1111/disa.12068
Katrina revisited: Recovery strategies - Redevelopment vs. relocation;journalArticle;10.1504/IJEM.2014.061664
Planning innovation and post-disaster reconstruction: The case of Tohoku, Japan;journalArticle;10.1080/14649357.2014.902909
The 2011 flood in Minot (North Dakota, USA) and the role of faith-based and nonprofit groups in hazard event response and recovery;journalArticle;10.1016/j.ijdrr.2014.03.003
Myths and realities about the recovery of L'Aquila after the earthquake;journalArticle;10.1016/j.ijdrr.2014.02.001
Satisfaction level on quality of life post-earthquake rebuilding;book;10.1108/IJDRBE-08-2012-0025
Enclosures within enclosures and hurricane reconstruction in Cancún, Mexico;bookSection;10.1111/ciso.12026
Disaster resilience and population ageing: The 1995 Kobe and 2004 Chuetsu earthquakes in Japan;journalArticle;10.1111/disa.12048
The barriers to environmental sustainability in post-disaster settings: A case study of transitional shelter implementation in Haiti;conferencePaper;10.1111/disa.12054
A generic decision model for developing concentrated rural settlement in post-disaster reconstruction: A China study;journalArticle;10.1007/s11069-013-0924-3
Urban design for post-earthquake reconstruction: A case study of wenchuan county, china;journalArticle;10.1016/j.habitatint.2013.09.001
Rebuilding after floodings in the banat area. Case studies;conferencePaper;10.5593/SGEM2013/BF6/S27.023
Rebuilding housing in Japan's tsunami-hit towns and cities;conferencePaper;10.1080/14616718.2013.852301
Earthquake and tsunami recovery efforts in northeastern Japan;journalArticle;10.2495/DMAN130041
Housing and reconstruction in Chile (2010-2012): Institutional and social transformation in post-disaster contexts;journalArticle;
Beyond the appereance of heritage: Reconstruction of historic areas affected by earthquakes in Chile;journalArticle;
Technical report-sheltering, from relief to reconstruction: One year after the 2010 East Azerbaijan Province earthquake;journalArticle;
Build back better: Lessons from Sri Lanka's recovery from the 2004 Indian Ocean tsunami;journalArticle;
Long-term cultural impacts of disaster decision-making: The Case of Post Earthquake Reconstruction in Marathwada, India;conferencePaper;
Spatial connectivity as a recovery process indicator: The L'aquila earthquake;journalArticle;10.1016/j.techfore.2012.12.001
Build Back Better principles for post-disaster structural improvements;journalArticle;10.1108/SS-12-2012-0044
Rebuilding communities after disasters: Lessons from the Tsunami disaster in Sri Lanka;journalArticle;10.1111/1758-5899.12038
Disaster recovery measurement framework: An application case of disaster recovery after hurricane Katrina;journalArticle;
Integrating disaster risk reduction into post-disaster reconstruction: A long-term perspective of the 1931 earthquake in Napier, New Zealand;bookSection;10.1111/nzg.12014
Vulnerability and disaster in Thailand: Scale, power, and collaboration in post-tsunami recovery;journalArticle;
Centralized decision making, users' participation and satisfaction in post-disaster reconstruction: The case of Tunisia;journalArticle;10.1108/IJDRBE-02-2012-0009
Critical success factors for community-based post-disaster housing reconstruction projects in the pre-construction stage in Indonesia;journalArticle;10.1108/IJDRBE-03-2013-0005
Sandy recovery improvement act and supplementary funding for disaster relief;journalArticle;
An evaluation of medium-term recovery processes after the 6 April 2009 earthquake in L'Aquila, Central Italy;journalArticle;10.1080/17477891.2012.689250
Housing Reconstruction in Disaster Recovery: A Study of Fishing Communities Post-Tsunami in Chennai, India;conferencePaper;10.1371/currents.dis.a4f34a96cb91aaffacd36f5ce7476a36
Quantitative assessment of post-disaster housing recovery: A case study of Punta Gorda, Florida, after Hurricane Charley;journalArticle;10.1111/j.1467-7717.2012.01305.x
Sense of home place in participatory post-disaster reconstruction;journalArticle;10.1142/S1464333213500051
Framing responses to post-earthquake Haiti: How representations of disasters, reconstruction and human settlements shape resilience;journalArticle;10.1108/17595901311298991
Spatially enabled bushfire recovery;journalArticle;10.1007/s10708-011-9437-3
Reflections on livelihood issue in post-disaster reconstruction planning of wenchuan earthquake;bookSection;
Socioeconomic consequences of the 2004 tsunami: Policy implications for natural disaster management;journalArticle;10.1016/j.ypmed.2012.12.024
Tsunami recovery in Sri Lanka: Ethnic and regional dimensions;bookSection;
The sustainable architectural design of post-disaster reconstruction of the aboriginal settlements in Taiwan;book;10.2495/SC130381
Reconstruction and retrofitting of buildings after recent earthquakes in Iran;bookSection;10.1016/j.proeng.2013.03.012
The on-going psychological toll from the Canterbury earthquakes: Stories from one community;journalArticle;10.1108/DPM-10-2013-0180
The six principles of recovery: A guideline for preparing for future disaster recoveries;journalArticle;10.20965/jdr.2013.p0737
The role of post-disaster public policy responses in housing recovery of tenants;journalArticle;10.1016/j.habitatint.2013.05.004
Community Resilience after Disaster in Taiwan: A Case Study of Jialan Village with the Strengths Perspective;journalArticle;10.1080/1536710X.2013.784551
Psychosocial Recovery for Children Disabled in an Earthquake: School Social Work in Dujiangyan, China;journalArticle;10.1080/1536710X.2013.784561
Empowering Disaster-Affected Communities for Long-Term Reconstruction: Intervening in Sri Lanka After the Tsunami;conferencePaper;10.1080/1536710X.2013.784175
Urban recovery process in pisco after the 2007 Peru Earthquake;journalArticle;10.20965/jdr.2013.p0356
Impacts of temporary housing on housing reconstruction after the Bam earthquake;conferencePaper;10.1108/09653561311301989
Measuring the processes and outcomes of post-disaster housing recovery: Lessons from Gölcük, Turkey;journalArticle;10.1007/s11069-012-0442-8
Facilitating successful community-led recovery after disasters;journalArticle;
Mapping social vulnerability to enhance housing and neighborhood resilience;conferencePaper;10.1080/10511482.2011.624528
The effect of social capital on post-earthquake reconstruction (programmes) in Nantou county, Taiwan: An assessment;journalArticle;10.1080/00036846.2011.589821
Managing resources in disaster recovery projects;journalArticle;10.1108/09699981211259621
A research on the problems and countermeasures in the reconstruction and development of tourism after the Wenchuan earthquake;journalArticle;
The sense of place in the new homes of post-Bam earthquake reconstruction;journalArticle;10.1108/17595901211263611
Factors affecting earthquake recovery: The Yao'an earthquake of China;journalArticle;10.1007/s11069-012-0224-3
Japan's Post-Disaster Economic Reconstruction: From Kobe to Tohoku;journalArticle;10.1111/j.1467-8381.2012.02082.x
Post-disaster Community Recovery in Heterogeneous, Loosely Connected Communities;journalArticle;10.1080/00346764.2012.662786
Comparison of post-disaster housing procurement methods in rural areas of Turkey;journalArticle;
Post-disaster recovery and ongoing vulnerability: Ten years after the super-cyclone of 1999 in Orissa, India;journalArticle;10.1016/j.gloenvcha.2012.05.001
Reconstruction of the Aceh Region following the 2004 Indian Ocean tsunami disaster: A transportation perspective;journalArticle;10.1016/j.iatssr.2012.07.001
Rebuilding community in the wake of disaster: Lessons from the recovery from the 2004 tsunami in Sri Lanka and India;journalArticle;10.1093/cdj/bsr025
Research on the evaluation elements of post-disaster reconstruction;conferencePaper;
Research on peasant households' recovery process from perspective of entitlement analysis: Based on earthquake disaster in TP village of gansu province;journalArticle;
Governance for sustainable reconstruction after disasters: Lessons from Nias, Indonesia;journalArticle;10.1016/j.envdev.2012.03.010
Multi-agency community engagement during disaster recovery: Lessons from two New Zealand earthquake events;journalArticle;10.1108/09653561211220034
Enterprise Recovery Following Natural Disasters;journalArticle;10.1111/j.1468-0297.2011.02475.x
Flood of emotions: Emotional work and long-term disaster recovery;book;10.1016/j.emospa.2011.08.002
Communal leadership in post-mitch housing reconstruction in nicaragua;book;
Communities’ perspectives on housing reconstruction in Gujarat following the earthquake of 2001;conferencePaper;
Recovery and resilience of industry and geographic sectors after the 2010 and 2011 canterbury earthquakes;journalArticle;
Causes of success and failure of post disaster reconstruction projects;journalArticle;
Global perspective on seismic risk reduction and resilient reconstruction;journalArticle;
Cultural and spiritual resilience of religious communities in Sri Lanka after the 2004 Indian Ocean Tsunami;journalArticle;
Post-disaster policy responses and livelihood recovery of retailers in earthquake-affected cities;journalArticle;
Role of local wisdom in rapidity of rehabilitation and reconstruction of earthquake disaster in multi religious and mono religious villages (a Case in Bantul);journalArticle;
Towards an interdisciplinary framework for understanding the role of culture in the post disaster reconstruction process - The case of tsunami reconstruction in Tamilnadu, Southern India;journalArticle;
Identifying the added-value of various roles in the post-disaster response and recovery of Christchurch;journalArticle;
Building capability for disaster resilience;journalArticle;
Towards a policy that supports people-centered housing recovery—learning from housing reconstruction after the Hanshin-Awaji Earthquake in Kobe, Japan;journalArticle;10.1007/s13753-012-0007-1
Disaster recovery and business continuity after the 2010 flood in Pakistan: Case of small businesses;journalArticle;10.1016/j.ijdrr.2012.08.001
Technologies and emergency management for disaster recovery - With focus on the Great East Japan Earthquake;journalArticle;10.1587/transcom.E95.B.1911
Economic recovery scenario planning for a Tokyo Inland Earthquake;journalArticle;10.20965/jdr.2012.p0203
Social flux and disaster management: An essay on the construction of an indonesian model for disaster management and reconstruction;journalArticle;10.20965/jdr.2012.p0065
